,acronym,expansion,language,type,doc_id
375,CEN,Comité Européen de Normalisation,en,out_expansion,Bureau_voor_Normalisatie
376,EN,Europese Normen,nl,out_expansion,Bureau_voor_Normalisatie
377,ISO,International Standardization Organization,en,out_expansion,Bureau_voor_Normalisatie
378,ISO-website,International Standardization Organization-website,en,out_expansion,Bureau_voor_Normalisatie
379,NBN,Nederlands: Bureau voor Normalisatie,nl,in_expansion,Bureau_voor_Normalisatie
380,NBN-Revue,Nederlands: Bureau voor Normalisatie-Revue,nl,in_expansion,Bureau_voor_Normalisatie
381,ARD,Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland,none_of_above,out_expansion,Belgischer_Rundfunk
382,BHF,Belgischer Hör- und Fernsehfunk,none_of_above,in_expansion,Belgischer_Rundfunk
383,BRF,Belgischer Rundfunk,nl,in_expansion,Belgischer_Rundfunk
384,BRF1,Belgischer Rundfunk 1,nl,out_expansion,Belgischer_Rundfunk
385,BRF2,Belgischer Rundfunk 2,nl,out_expansion,Belgischer_Rundfunk
386,BRT,Belgische Radio- en Televisieomroep,nl,out_expansion,Belgischer_Rundfunk
387,DAB-boeket,Digital Audio Broadcast-boeket,en,out_expansion,Belgischer_Rundfunk
388,DRB,Deutschsprachige Rundfunkvereinigung belgiens,nl,in_expansion,Belgischer_Rundfunk
389,DVB-T,Digital Video Broadcasting Terrestrial,en,out_expansion,Belgischer_Rundfunk
390,ELA,Emissions en Langue allemande,none_of_above,in_expansion,Belgischer_Rundfunk
391,FM,Frequentie Modulatie,nl,out_expansion,Belgischer_Rundfunk
392,FM-band,Frequentie Modulatie-band,nl,out_expansion,Belgischer_Rundfunk
393,INR,Institut national de radiodiffusion,none_of_above,out_expansion,Belgischer_Rundfunk
394,KA3,Kanal 3,nl,out_expansion,Belgischer_Rundfunk
395,L1,Limburg 1,nl,out_expansion,Belgischer_Rundfunk
396,NIR,Nationaal Instituut voor de Radio-omroep,nl,out_expansion,Belgischer_Rundfunk
397,RTB,Radio-Télévision Belge,none_of_above,out_expansion,Belgischer_Rundfunk
398,RTBF,Radio-Télévision belge de la Communauté française,none_of_above,out_expansion,Belgischer_Rundfunk
399,WDR,Westdeutscher Rundfunk,none_of_above,in_expansion,Belgischer_Rundfunk
400,ZDF,Zweites Deutsches Fernsehen,none_of_above,out_expansion,Belgischer_Rundfunk
401,ARD,Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland,none_of_above,out_expansion,Belgischer_Rundfunk
402,BHF,Belgischer Hör- und Fernsehfunk,none_of_above,in_expansion,Belgischer_Rundfunk
403,BRF,Belgischer Rundfunk,nl,in_expansion,Belgischer_Rundfunk
404,BRT/RTB,Belgische Radio- en Televisieomroep/Radio-Télévision belge,none_of_above,out_expansion,Belgischer_Rundfunk
405,DAB,Digital Audio Broadcast,en,out_expansion,Belgischer_Rundfunk
406,DRB,Deutschsprachige Rundfunkvereinigung belgiens,none_of_above,in_expansion,Belgischer_Rundfunk
407,DVB-T,Digital Video Broadcasting Terrestrial,en,out_expansion,Belgischer_Rundfunk
408,ELA,Emissions en Langue allemande,none_of_above,in_expansion,Belgischer_Rundfunk
409,FM,Frequentie Modulatie,nl,out_expansion,Belgischer_Rundfunk
410,RTBF,Radio-Télévision belge de la Communauté française,none_of_above,out_expansion,Belgischer_Rundfunk
411,WDR,Westdeutscher Rundfunk,none_of_above,in_expansion,Belgischer_Rundfunk
412,ZDF,Zweites Deutsches Fernsehen,none_of_above,out_expansion,Belgischer_Rundfunk
413,DOS,Dirty Operating System,en,out_expansion,Microsoft
414,API,Application Programming Interface,en,out_expansion,Microsoft
415,BASIC,Beginner's All-Purpose Symbolic Instruction Code,en,out_expansion,Microsoft
416,CE,Compact Embedded,en,out_expansion,Microsoft
417,CEO,Chief Executive Officer,en,out_expansion,Microsoft
418,CP/M,Control Program for Microcomputers,en,out_expansion,Microsoft
419,EC,Europese Commissie,en,in_expansion,Microsoft
420,EU,Europese Unie,nl,out_expansion,Microsoft
421,FTC,Federal Trade Commission,en,out_expansion,Microsoft
422,IBM,International Business Machines Corporation,en,out_expansion,Microsoft
423,pc,personal computer,en,out_expansion,Microsoft
424,IE,Internet Explorer,en,out_expansion,Microsoft
425,MITS,Micro Instrumentation and Telemetry Systems,en,out_expansion,Microsoft
426,MS,Microsoft,en,in_expansion,Microsoft
427,MS-DOS,Microsoft Disk Operating System,en,out_expansion,Microsoft
428,MSN,Microsoft Network,en,out_expansion,Microsoft
429,MSNBC,Microsoft National Broadcasting Company,en,out_expansion,Microsoft
430,NBC,National Broadcasting Company,en,out_expansion,Microsoft
431,NT,New Technology,en,out_expansion,Microsoft
432,OEM,Original equipment manufacturer,en,out_expansion,Microsoft
433,OS,operating system,en,out_expansion,Microsoft
434,OS/2,Operating System/2,en,out_expansion,Microsoft
435,PC-DOS,Personal Computer Disk Operating System,en,out_expansion,Microsoft
436,UI,user interface,en,out_expansion,Microsoft
437,US,United States,en,out_expansion,Microsoft
438,Win32-API,Windows 32 Application Programming Interface,en,out_expansion,Microsoft
439,VS,Verenigde Staten,nl,out_expansion,Microsoft
440,XP,experience,en,out_expansion,Microsoft
441,bit,binary digit,en,out_expansion,Microsoft
442,pc,personal computer,en,in_expansion,Microsoft
443,BASIC,Beginner's All-Purpose Symbolic Instruction Code,en,out_expansion,Microsoft
444,PC-DOS,Personal Computer Disk Operating System,en,out_expansion,Microsoft
445,API,Application Programming Interface,en,out_expansion,Microsoft
446,Bit,Binary digIT,en,out_expansion,Microsoft
447,CEO,Chief Executive Officer,en,out_expansion,Microsoft
448,CP/M,Control Program for Microcomputers,en,out_expansion,Microsoft
449,DOS,Dirty Operating System,en,out_expansion,Microsoft
450,EC,Europese Commissie,nl,in_expansion,Microsoft
451,EU,Europese Unie,nl,out_expansion,Microsoft
452,FTC,Federal Trade Commission,en,in_expansion,Microsoft
453,IBM,International Business Machines Corporation,en,out_expansion,Microsoft
454,IE,Internet Explorer,en,in_expansion,Microsoft
455,MITS,Micro Instrumentation and Telemetry Systems,en,out_expansion,Microsoft
456,MS,Microsoft,en,in_expansion,Microsoft
457,MS-DOS,Microsoft Disk Operating System,other language,out_expansion,Microsoft
458,MSN,Microsoft Network,en,out_expansion,Microsoft
459,MSNBC,Microsoft National Broadcasting Company,en,out_expansion,Microsoft
460,NBC,National Broadcasting Company,en,out_expansion,Microsoft
461,NT,New Technology,en,out_expansion,Microsoft
462,OEM,Original equipment manufacturer,en,out_expansion,Microsoft
463,OS,operating system,en,out_expansion,Microsoft
464,OS/2,Operating System/2,en,out_expansion,Microsoft
465,UI,user interface,en,out_expansion,Microsoft
466,US,United States,en,out_expansion,Microsoft
467,VS,Verenigde Staten,nl,out_expansion,Microsoft
468,Win32-API,Windows 32 Application Programming Interface,en,out_expansion,Microsoft
469,GRECE,Groupement de Recherche et d'Études pour la Civilisation Européenne,none_of_above,out_expansion,Nouvelle_Droite
470,Alt-right,Alternative right,en,out_expansion,Nouvelle_Droite
471,GRECE,Groupement de recherche et d'études pour la civilisation européenne,none_of_above,out_expansion,Nouvelle_Droite
472,ACE,Altamont Corridor Express,en,out_expansion,Bay_Area_Rapid_Transit
473,AGT,automated guideway transit,en,in_expansion,Bay_Area_Rapid_Transit
474,BART,Bay Area Rapid Transit,en,in_expansion,Bay_Area_Rapid_Transit
475,GTW,Gelenktriebwagen,en,out_expansion,Bay_Area_Rapid_Transit
476,SF,San Francisco,en,in_expansion,Bay_Area_Rapid_Transit
477,Muni,Municipal,en,out_expansion,Bay_Area_Rapid_Transit
478,SFO,San Francisco,en,in_expansion,Bay_Area_Rapid_Transit
479,VS,Verenigde Staten,nl,in_expansion,Bay_Area_Rapid_Transit
480,VTA,Valley Transportation Authority,en,out_expansion,Bay_Area_Rapid_Transit
481,Muni,Municipal,en,in_expansion,Bay_Area_Rapid_Transit
482,ACE,Altamont Corridor Express,en,out_expansion,Bay_Area_Rapid_Transit
483,AGT,automated guideway transit,en,in_expansion,Bay_Area_Rapid_Transit
484,BART,Bay Area Rapid Transit,en,in_expansion,Bay_Area_Rapid_Transit
485,GTW,Gelenktriebwagen,none_of_above,out_expansion,Bay_Area_Rapid_Transit
486,SF,San Francisco,en,in_expansion,Bay_Area_Rapid_Transit
487,SFO,San Francisco,en,out_expansion,Bay_Area_Rapid_Transit
488,VS,Verenigde Staten,nl,in_expansion,Bay_Area_Rapid_Transit
489,VTA,Valley Transportation Authority,en,out_expansion,Bay_Area_Rapid_Transit
490,B,België,nl,in_expansion,Westfalien
491,D,Duitsland,nl,in_expansion,Westfalien
492,ICS,International Commission on Stratigraphy,en,out_expansion,Westfalien
493,Ma,Mega-annum,nl,out_expansion,Westfalien
494,NL,Nederland,nl,in_expansion,Westfalien
495,B,België,nl,in_expansion,Westfalien
496,D,Duitsland,nl,in_expansion,Westfalien
497,ICS,International Commission on Stratigraphy,en,out_expansion,Westfalien
498,NL,Nederland,nl,in_expansion,Westfalien
499,AID,Algemene Inspectiedienst,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
500,AID,Algemene Inspectiedienst,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
501,EZ,Economische Zaken,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
502,EZ,Economische Zaken,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
503,KvW,Keuringsdienst van Waren,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
504,KvW,Keuringsdienst van Waren,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
505,LNV,"Landbouw, Natuur en Voedselkwaliteit",nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
506,LNV,"Landbouw, Natuur en Voedselkwaliteit",nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
507,NVWA,Nederlandse Voedsel- en Warenautoriteit,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
508,NVWA,Nederlandse Voedsel- en Warenautoriteit,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
509,PD,Plantenziektenkundige Dienst,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
510,PD,Plantenziektenkundige Dienst,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
511,RTL,Radio Télévision Luxembourg,none_of_above,out_expansion,Nederlandse_Voedsel__en_Warenautoriteit
512,RTL,Radio Télévision Luxembourg,none_of_above,out_expansion,Nederlandse_Voedsel__en_Warenautoriteit
513,RVV,Rijksdienst voor de keuring van Vee en Vlees,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
514,VWA,Voedsel- en Warenautoriteit,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
515,VWA,Voedsel- en Warenautoriteit,nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
516,VWS,"Volksgezondheid, Welzijn en Sport",nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
517,VWS,"Volksgezondheid, Welzijn en Sport",nl,in_expansion,Nederlandse_Voedsel__en_Warenautoriteit
518,Wob,Wet openbaarheid van bestuur,nl,out_expansion,Nederlandse_Voedsel__en_Warenautoriteit
519,Wob,Wet openbaarheid van bestuur,nl,out_expansion,Nederlandse_Voedsel__en_Warenautoriteit
520,OIS,Organisatie voor Islamitische Samenwerking,nl,in_expansion,Organisatie_voor_Islamitische_Samenwerking
521,OIS,Organisatie voor Islamitische Samenwerking,nl,in_expansion,Organisatie_voor_Islamitische_Samenwerking
522,VS,Verenigde Staten,nl,in_expansion,Organisatie_voor_Islamitische_Samenwerking
523,VS,Verenigde Staten,nl,in_expansion,Organisatie_voor_Islamitische_Samenwerking
524,S/n,signaal-ruisverhouding,nl,in_expansion,Signaal_ruisverhouding
525,SNR,signaal-ruisverhouding,nl,in_expansion,Signaal_ruisverhouding
526,SNR,signaal-ruisverhouding,nl,in_expansion,Signaal_ruisverhouding
527,dB,decibel,nl,in_expansion,Signaal_ruisverhouding
528,dB,decibel,nl,in_expansion,Signaal_ruisverhouding
529,BKWI,Bureau Keteninformatisering Werk & Inkomen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
530,BVG,bedrijfsvereniging voor de gezondheidszorg,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
531,CAO,Collectieve Arbeidsovereenkomst,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
532,CGI,Consultants to Government & Industries,en,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
533,CWI,Centrum voor Werk en Inkomen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
534,DETAM,bedrijfsvereniging detailhandel en ambachten,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
535,GAK,Gemeenschappelijk Administratiekantoor,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
536,GUO,Gemeenschappelijk Uitvoeringsorgaan,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
537,IBM,International Business Machines Corporation,en,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
538,ICT,Informatie- en Communicatietechnologie,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
539,Lisv,Landelijk instituut sociale verzekeringen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
540,SFB,Sociaal Fonds Bouwnijverheid,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
541,SUWI,structuur uitvoeringsorganisatie werk en inkomen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
542,SVB,Sociale Verzekeringsbank,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
543,SZW,Sociale Zaken en Werkgelegenheid,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
544,USZO,Uitvoeringsorganisatie Sociale Zekerheid Overheidspersoneel,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
545,UWV,Uitvoeringsinstituut Werknemersverzekeringen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
546,WAO,Wet Arbeidsongeschiktheidsverzekering,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
547,WAZ,Wet Arbeidsongeschiktheidsverzekering Zelfstandigen,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
548,WIA,Wet werk en inkomen naar arbeidsvermogen,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
549,WW,Werkloosheidswet,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
550,Wazo,Wet arbeid en zorg,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
551,fte,fulltime-equivalent,en,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
552,zzp'ers,zelfstandigen zonder personeel,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
553,BKWI,Bureau Keteninformatisering Werk & Inkomen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
554,BVG,bedrijfsvereniging voor de gezondheidszorg,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
555,CAO,Collectieve Arbeidsovereenkomst,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
556,CGI,Consultants to Government & Industries,en,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
557,CWI,Centrum voor Werk en Inkomen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
558,DETAM,bedrijfsvereniging detailhandel en ambachten,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
559,GAK,Gemeenschappelijk Administratiekantoor,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
560,GUO,Gemeenschappelijk Uitvoeringsorgaan,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
561,IBM,International Business Machines Corporation,en,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
562,ICT,Informatie- en Communicatietechnologie,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
563,Lisv,Landelijk instituut sociale verzekeringen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
564,SFB,Sociaal Fonds Bouwnijverheid,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
565,SUWI,structuur uitvoeringsorganisatie werk en inkomen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
566,SVB,Sociale Verzekeringsbank,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
567,SZW,Sociale Zaken en Werkgelegenheid,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
568,USZO,Uitvoeringsorganisatie Sociale Zekerheid Overheidspersoneel,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
569,UWV,Uitvoeringsinstituut Werknemersverzekeringen,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
570,WAO,Wet Arbeidsongeschiktheidsverzekering,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
571,WAZ,Wet Arbeidsongeschiktheidsverzekering Zelfstandigen,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
572,WIA,Wet werk en inkomen naar arbeidsvermogen,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
573,WW,Werkloosheidswet,nl,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
574,Wazo,Wet arbeid en zorg,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
575,fte,fulltime-equivalent,en,out_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
576,zzp'ers,zelfstandigen zonder personeel,nl,in_expansion,Uitvoeringsinstituut_Werknemersverzekeringen
577,AMOLF,Atoom- en Molecuulfysica,nl,in_expansion,Universiteit_van_Amsterdam
578,AMOLF,Atoom- en Molecuulfysica,nl,in_expansion,Universiteit_van_Amsterdam
579,ASVA,Algemene Studenten Vereniging Amsterdam,nl,out_expansion,Universiteit_van_Amsterdam
580,ASVA,Algemene Studenten Vereniging Amsterdam,nl,out_expansion,Universiteit_van_Amsterdam
581,AUC,Amsterdam University College,nl,in_expansion,Universiteit_van_Amsterdam
582,AUC,Amsterdam University College,nl,in_expansion,Universiteit_van_Amsterdam
583,AUV,Amsterdamse Universiteits-Vereniging,nl,in_expansion,Universiteit_van_Amsterdam
584,AUV,Amsterdamse Universiteits-Vereniging,nl,in_expansion,Universiteit_van_Amsterdam
585,CWI,Centrum voor Wiskunde en Informatica,nl,in_expansion,Universiteit_van_Amsterdam
586,CWI,Centrum voor Wiskunde en Informatica,nl,in_expansion,Universiteit_van_Amsterdam
587,Cedla,Centrum voor Studie en Documentatie van Latijns-Amerika,nl,in_expansion,Universiteit_van_Amsterdam
588,Cedla,Centrum voor Studie en Documentatie van Latijns-Amerika,nl,in_expansion,Universiteit_van_Amsterdam
589,FOM,Fundamenteel Onderzoek der Materie,nl,out_expansion,Universiteit_van_Amsterdam
590,GU,Gemeente Universiteit,nl,in_expansion,Universiteit_van_Amsterdam
591,GU,Gemeente Universiteit,nl,in_expansion,Universiteit_van_Amsterdam
592,HvA,Hogeschool van Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
593,HvA,Hogeschool van Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
594,NIKHEF,Nationaal Instituut voor subatomaire fysica,nl,in_expansion,Universiteit_van_Amsterdam
595,NIKHEF,Nationaal Instituut voor subatomaire fysica,nl,in_expansion,Universiteit_van_Amsterdam
596,SARA,Stichting Academisch Rekencentrum Amsterdam,en,out_expansion,Universiteit_van_Amsterdam
597,SARA,Stichting Academisch Rekencentrum Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
598,UvA,Universiteit van Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
599,UvA,Universiteit van Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
600,UvA-bibliotheekvestigingen,Universiteit van Amsterdam-bibliotheekvestigingen,nl,in_expansion,Universiteit_van_Amsterdam
601,UvA-catalogus,Universiteit van Amsterdam-catalogus,nl,in_expansion,Universiteit_van_Amsterdam
602,VU,Vrije Universiteit Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
603,VU,Vrije Universiteit Amsterdam,nl,in_expansion,Universiteit_van_Amsterdam
604,CITES,Convention on the Conservation of Migratory Species of Wild Animals,en,in_expansion,VN_Milieuprogramma
605,CITES,Convention on the Conservation of Migratory Species of Wild Animals,en,in_expansion,VN_Milieuprogramma
606,IUCN,International Union for Conservation of Nature,en,out_expansion,VN_Milieuprogramma
607,IUCN,International Union for Conservation of Nature,en,out_expansion,VN_Milieuprogramma
608,LivCom,Liveable Communities,en,out_expansion,VN_Milieuprogramma
609,LivCom,Liveable Communities,en,out_expansion,VN_Milieuprogramma
610,UNEP,United Nations Environment Programme,en,in_expansion,VN_Milieuprogramma
611,UNEP,United Nations Environment Programme,en,in_expansion,VN_Milieuprogramma
612,VN,Verenigde Naties,nl,in_expansion,VN_Milieuprogramma
613,VN,Verenigde Naties,nl,in_expansion,VN_Milieuprogramma
614,CITES,Convention on the Conservation of Migratory Species of Wild Animals,en,in_expansion,VN_Milieuprogramma
615,CITES,Convention on the Conservation of Migratory Species of Wild Animals,en,in_expansion,VN_Milieuprogramma
616,IUCN,International Union for Conservation of Nature,en,out_expansion,VN_Milieuprogramma
617,IUCN,International Union for Conservation of Nature,en,out_expansion,VN_Milieuprogramma
618,LivCom,Liveable Communities,en,out_expansion,VN_Milieuprogramma
619,LivCom,Liveable Communities,en,out_expansion,VN_Milieuprogramma
620,UNEP,United Nations Environment Programme,en,in_expansion,VN_Milieuprogramma
621,UNEP,United Nations Environment Programme,en,in_expansion,VN_Milieuprogramma
622,VN,Verenigde Naties,nl,in_expansion,VN_Milieuprogramma
623,VN,Verenigde Naties,nl,in_expansion,VN_Milieuprogramma
624,NVX,Nederlandse Vereniging van Visual Effects Professionals,nl,in_expansion,Visual_effects
625,NVX,Nederlandse Vereniging van Visual Effects Professionals,nl,in_expansion,Visual_effects
626,VFX,visual effects,en,in_expansion,Visual_effects
627,VFX,visual effects,en,in_expansion,Visual_effects
628,Hz,Hertz,nl,out_expansion,Wegingscurves_A_en_C
629,Hz,Hertz,nl,out_expansion,Wegingscurves_A_en_C
630,dB,decibel,nl,out_expansion,Wegingscurves_A_en_C
631,dB,decibel,nl,out_expansion,Wegingscurves_A_en_C
632,dB(A),Decibel A-filter,en,out_expansion,Wegingscurves_A_en_C
633,DDR,Duitse Democratische Republiek,nl,out_expansion,West_Berlijn
634,DDR,Duitse Democratische Republiek,nl,out_expansion,West_Berlijn
635,S-Bahn-passagiers,Stadtschnellbahn-passagiers,none_of_above,out_expansion,West_Berlijn
636,S-Bahn-verkeer,Stadtschnellbahn-verkeer,none_of_above,out_expansion,West_Berlijn
637,AAW,Algemene Arbeidsongeschiktheidswet,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
638,AAW,Algemene Arbeidsongeschiktheidswet,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
639,CBBS,claimbeoordelings- en borgingssysteem,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
640,CBBS,claimbeoordelings- en borgingssysteem,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
641,CORV,Collectieve Rechtsvordering,nl,out_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
642,CORV,Collectieve Rechtsvordering,nl,out_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
643,GDBM,geen duurzaam benutbare mogelijkheden,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
644,GDBM,geen duurzaam benutbare mogelijkheden,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
645,NRC,Nieuwe Rotterdamsche Courant,nl,out_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
646,NRC,Nieuwe Rotterdamsche Courant,nl,out_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
647,UWV,Uitvoeringsinstituut Werknemersverzekeringen,nl,out_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
648,UWV,Uitvoeringsinstituut Werknemersverzekeringen,nl,out_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
649,WAO,Wet arbeidsongeschiktheidsverzekering,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
650,WAO,Wet arbeidsongeschiktheidsverzekering,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
651,WIA,Wet werk en inkomen naar arbeidsvermogen,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
652,WIA,Wet werk en inkomen naar arbeidsvermogen,nl,in_expansion,Wet_op_de_arbeidsongeschiktheidsverzekering
653,OLVE,Onze-Lieve-Vrouw-van-Lourdescollege Edegem,nl,out_expansion,Wim_Helsen
654,OLVE,Onze-Lieve-Vrouw-van-Lourdescollege Edegem,nl,out_expansion,Wim_Helsen
655,VARA,Vereeniging van Arbeiders Radio Amateurs,nl,out_expansion,Wim_Helsen
656,VARA,Vereeniging van Arbeiders Radio Amateurs,nl,out_expansion,Wim_Helsen
657,VPRO,Vrijzinnig Protestantse Radio Omroep,nl,out_expansion,Wim_Helsen
658,VPRO,Vrijzinnig Protestantse Radio Omroep,nl,out_expansion,Wim_Helsen
659,VSCD,Vereniging van Schouwburgen en Concertgebouwdirecties,nl,out_expansion,Wim_Helsen
660,VSCD,Vereniging van Schouwburgen en Concertgebouwdirecties,nl,out_expansion,Wim_Helsen
661,dvd,Digital Versatile Disc,en,out_expansion,Wim_Helsen
662,tv,televisie,nl,out_expansion,Wim_Helsen
663,ATP,Association of Tennis Professionals,en,out_expansion,Women's_Tennis_Association
664,WTA,Women's Tennis Association,en,in_expansion,Women's_Tennis_Association
665,WTA,Women's Tennis Association,en,in_expansion,Women's_Tennis_Association
666,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
667,NBV,Nieuwe Bijbelvertaling,nl,out_expansion,Christendom
668,MIT,Massachusetts Institute of Technology,en,in_expansion,Massachusetts_Institute_of_Technology
669,MIT,Massachusetts Institute of Technology,en,in_expansion,Massachusetts_Institute_of_Technology
670,Luva,Luchtmacht Vrouwenafdeling,nl,in_expansion,Militair
671,Marva,Marine Vrouwenafdeling,nl,in_expansion,Militair
672,Milva,Militaire Vrouwenafdeling,nl,in_expansion,Militair
673,Luva,Luchtmacht Vrouwenafdeling,other language,in_expansion,Militair
674,Marva,Marine Vrouwenafdeling,en,in_expansion,Militair
675,Milva,Militaire Vrouwenafdeling,en,in_expansion,Militair
676,M.S.,multiple sclerose,nl,in_expansion,Neurologie
677,M.S.,multiple sclerose,en,in_expansion,Neurologie
678,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
679,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
680,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
681,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
682,CDA,Christen-Democratisch Appèl,nl,out_expansion,Dienstplicht
683,Milac,Militianen Actie,nl,out_expansion,Dienstplicht
684,VVD,Volkspartij voor Vrijheid en Democratie,nl,out_expansion,Dienstplicht
685,VVDM,Vereniging van Dienstplichtige Militairen,nl,in_expansion,Dienstplicht
686,CCMO,Centrale Commissie Mensgebonden Onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
687,METC's,Medisch-Ethische Toetsingcommissies,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
688,WMO,Wet medisch-wetenschappelijk onderzoek,nl,in_expansion,Wet_medisch_wetenschappelijk_onderzoek_met_mensen
