DocID,Title,WikiID,In,Out
82,E.T._the_Extra_Terrestrial,225165,"E.T.;Extra-Terrestrial
VS;Verenigde Staten","MCA;Music Corporation of America
USC;University of Southern California
VHS;Video Home System
o.a.;onder andere
Benelux;België, Nederland en Luxemburg
TV;Televisie
WALL•E;Waste Allocation Load Lifter Earth-Class"
83,IALA_Maritiem_Betonningsstelsel,1577494,,"IALA;International Association of Lighthouse Authorities
IALA-stelsel;International Association of Lighthouse Authorities-stelsel
IALA-systeem;International Association of Lighthouse Authorities-systeem
IMO;International Maritime Organization
SIGNI-systeem;Signalisation des Voies de Navigations Intérieuré
SIGNI;Signalisation des Voies de Navigations intérieure"
84,Metro_van_Berlijn,94415,"BVG;Berliner Verkehrsbetriebe
GN-Bahn;Gesundbrunnen-Neukölln bahn
U-Bahn;Untergrundbahn
U1;Untergrundbahn 1
U2;Untergrundbahn 2
U3;Untergrundbahn 3
U4;Untergrundbahn 4
U5;Untergrundbahn 5
U6;Untergrundbahn 6
U8;Untergrundbahn 8
ZSA;Zugfahrer-Selbstabfertigung","AEG;Allgemeine Elektricitäts-Gesellschaft
DDR;Deutsche Demokratische Republik
M-Bahn;Magnetbahn
S-Bahn;Stadtschnellbahn
VBB;Verkehrsverbund Berlijn-Brandenburg
km/h;kilometre per hour"
85,Dvd,10715,"GB;gigabyte
GiB;gibibyte
SD;SuperDisc
cd;compact disc
dvd;Digital Versatile Disc.
MB;megabyte
MMCD;MultiMedia Compact Disc
cm;centimeter","EFM;Eight-to-Fourteen Modulation
IBM;International Business Machines
MB;megabyte
MMCD;MultiMedia Compact Disc
MiB;Mebibyte
NEC;Nippon Electric Company
NTSC;National Television Standards Committee
PAL;Phase Alternating Line
SI;Système international d'unités
VHS;Video Home System
cd-r;compact disk-recordable
cd-rom;compact disc read-only memory
cd-rw;compact disc rewritable
cm;centimeter
dvd-r;Digital Versatile Disc-recordable
dvd-ram;Digital Versatile Disc - Random Access Memory
dvd-rom;Digital Versatile Disc read-only memory
hd;high definition
rw;rewritable
vcd;video compact disc
3-D;3 Dimensies
3D;3 Dimensies
hd-dvd;hogedefinitie digital versatile disc."
86,Koninklijke_Nederlandse_Voetbalbond,48272,"KNVB;Koninklijke Nederlandse Voetbalbond
NVAB;Nederlandsche Voetbal en Athletiek Bond
NVB;Nederlandse Voetbalbond",FIFA;Fédération Internationale de Football Association
87,Platenspeler,16790,"AT;Audio Technica
MC;moving coil
MD;magneto-dynamische
MM-element;moving magnet-element
MC-element;Moving Coil-element
MC-transformator;moving coil-transformator","EMT;Elektro-Mess-Technik
JVC;Japan Victor Company
MP3;Motion Picture 3
REGA;REIph & GAndy
Usb;Universal serial bus
VPI;Vacuum Pressure Impregnation
cd;compact disc
cm;centimeter
dj's;diskjockeys
dvd-speler;digital versatile disk-speler
i.p.v.;in plaats van
lp;long play
tpm;toeren per minuut
Usb-platenspelers;Universal serial bus-platenspelers
cd-speler;compact disc-speler
dj-draaitafel;diskjockey-draaitafel
mp3-speler;Motion Picture 3-speler
usb-aansluiting;universal serial bus-aansluiting"
88,Maybach,96959,,"GmbH;Gesellschaft mit beschränkter Haftung
IAA;Internationale Automobil-Ausstellung
NS;Nederlandse Spoorwegen
Nm;Newton-meter
S;Sonder
S-Klasse;Sonder-Klasse
cm;centimeter
km/h;kilometer per hour
km/uur;kilometer per uur
o/m;omwentelingen per minuut
pk;paardenkracht"
89,Bestedingen,64951,NaN,NaN
90,Fictie,59023,NaN,NaN
91,Langpootmuggen,181981,NaN,NaN
92,Suikerfabriek,213202,NaN,NaN
93,Theorie,42038,NaN,NaN
